Company Name,Event Name,Category,Date,Location / Region,Format,Status,Description,Source URL
Grid Dynamics,XT26 London Forum,Invite-Only,2026-06-18,"London, UK",In-person,Completed,C-level roundtables discussing financial services AI and engineering,https://www.griddynamics.com
Grid Dynamics,Q2 2026 Earnings Call,Internally Hosted,2026-07-30,Virtual / US,Virtual,Upcoming,Webcast conference call to discuss quarterly financial results,https://www.griddynamics.com
Grid Dynamics,GenAI Enterprise Webinar,Externally Hosted (Open),2026-10-15,Virtual / Global,Virtual,,Technical sessions on scaling LLMs in e-commerce and retail,https://www.griddynamics.com
Perficient (PSL),Salesforce Dreamforce 2026,Attending / Sponsoring,2026-09-15,"San Francisco, US",In-person,,Showcasing Salesforce Agentforce and digital workflow solutions,https://www.perficient.com
Perficient (PSL),Sitecore Symposium 2026,Attending / Sponsoring,2026-10-25,"Chicago, US",In-person,,Exhibiting digital experience platforms and personalization tools,https://www.perficient.com
Perficient (PSL),GenAI in CX Executive Dinner,Invite-Only,2026-11-12,"Dallas, US",In-person,,Closed-door executive session on generative AI for customer experience,https://www.perficient.com
TCS,TCS Summit Europe 2026,Invite-Only,2026-09-21,"London, UK",In-person,,'Enterprise AI – Infrastructure to Intelligence' leadership summit,https://www.tcs.com
TCS,Farnborough International Airshow,Attending / Sponsoring,2026-07-20,"England, UK",In-person,Upcoming,Aerospace and defense digital engineering showcases,https://www.tcs.com
TCS,World Credit Union Conference,Attending / Sponsoring,2026-07-19,"Sydney, Australia",In-person,Upcoming,Showcased TCS BaNCS banking platform solutions,https://www.tcs.com
TCS,31st Annual General Meeting,Internally Hosted,2026-06-09,Virtual / India,Virtual,Completed,Interactive shareholder meeting and leadership roadmap,https://www.tcs.com
TCS,TCS COIN Pitch Days,Startup-Friendly,2026-10-01,Mumbai / Silicon Valley,Hybrid,,Pitch sessions for deep-tech startups seeking enterprise validation,https://www.tcs.com
Infosys,PEGAInnovate 2026,Externally Hosted (Open),2026-07-27,"Hyderabad, India",In-person,Upcoming,"Enterprise automation, AI, and workflow efficiency forum",https://www.infosys.com
Infosys,ServiceNow World Forum,Attending / Sponsoring,2026-07-30,"Sydney, Australia",In-person,Upcoming,Partner showcase on digital workflow transformation,https://www.infosys.com
Infosys,Black Hat USA 2026,Attending / Sponsoring,2026-08-05,"Las Vegas, US",In-person,Upcoming,Major cybersecurity partner highlighting AI-driven security,https://www.infosys.com
Infosys,Q1 FY27 Earnings Call,Internally Hosted,2026-07-23,Virtual / India,Virtual,Upcoming,Live conference call and financial performance review,https://www.infosys.com
Infosys,Infosys Innovation Fund Demos,Startup-Friendly,2026-11-12,Bangalore / San Jose,In-person,,Demo days connecting portfolio startups with enterprise clients,https://www.infosys.com
Virtusa,Virtusa Neural Hackathon,Startup-Friendly,2026-10-18,Virtual / India,Virtual,,National coding & AI hackathon for student developers,https://prepinsta.com
Virtusa,BSA Conference 2026,Attending / Sponsoring,2026-10-22,"London, UK",In-person,,Sponsoring and exhibiting banking software architectures,https://www.bsaconference.org
Virtusa,AWS Cloud Modernization Webinar,Externally Hosted (Open),2026-09-10,Virtual / Global,Virtual,,Technical webinar series on migrating legacy workloads to AWS,https://www.virtusa.com
Wipro,Trust & Safety Summit,Attending / Sponsoring,2026-03-24,"London, UK",In-person,Completed,"AI safety, automation, and responsible content platforms",https://www.wipro.com
Wipro,Wipro Analyst & Advisor Summit,Invite-Only,2026-05-15,"Frankfurt, Germany",In-person,Completed,Executive briefing on GenAI enterprise readiness for European clients,https://www.wipro.com
Wipro,80th Annual General Meeting,Internally Hosted,2026-07-15,Virtual / India,Virtual,Completed,Video conference for adopting shareholder resolutions,https://www.wipro.com
Wipro,Utility Week Live 2027,Attending / Sponsoring,2027-05-25,"Birmingham, UK",In-person,,Confirmed presence highlighting smart utility grid transformation,https://www.wipro.com
Wipro,Wipro Co-Innovation Conclave,Startup-Friendly,2026-11-05,"Bangalore, India",In-person,,Ecosystem pitch day for deeptech startups and venture partners,https://www.wipro.com
Cognizant (CTS),Cognizant Discovery EMEA,Invite-Only,2026-07-03,"Windsor, UK",In-person,Completed,Annual C-suite retreat focusing on AI value creation,https://www.cognizant.com
Cognizant (CTS),Cognizant Discovery Americas,Invite-Only,2026-10-23,"Austin, US",In-person,,Flagship executive forum on digital operations and AI scalability,https://www.cognizant.com
Cognizant (CTS),Cognizant Technoverse Hackathon,Startup-Friendly,2026-05-15,"Pune, India",In-person,Completed,National-level developer challenge for emerging AI architectures,https://www.cognizant.com
Cognizant (CTS),Snowflake Summit 2026,Attending / Sponsoring,2026-06-01,"San Francisco, US",In-person,Completed,Black Diamond Sponsor showcasing cloud data modernizations,https://www.cognizant.com
Cognizant (CTS),Cognizant AI Forum 2026,Thought Leadership,2026-06-05,Hybrid / Global,Hybrid,Completed,Bridge AI investments to enterprise value; keynotes from CEO,https://www.cognizant.com
NTT Data,Transformation NOW! India,Externally Hosted (Open),2027-02-10,"Mumbai, India",In-person,,"SAP innovation, AI, and cloud-focused enterprise summit",https://www.nttdata-solutions.com
NTT Data,NTT Startup Challenge,Startup-Friendly,2026-11-24,"Bangalore, India",In-person,,Pitch event and venture networking for South Asian startups,https://www.nttdata.com
NTT Data,Mobile World Congress (MWC),Attending / Sponsoring,2027-02-22,"Barcelona, Europe",In-person,,Global telecommunication and edge computing showcase,https://www.nttdata.com
CGI Group,CGI Elevate Series,Invite-Only,2026-10-18,"Bangalore, India",In-person,,Closed-room GCC and digital strategy discussions for CXOs,https://www.cgi.com
CGI Group,Computer Graphics International,Externally Hosted (Open),2026-07-06,"London, UK",Hybrid,Completed,Annual academic and computer graphics research conference,https://www.cgs-network.org
CGI Group,AGA PDT 2026,Attending / Sponsoring,2026-07-26,Virtual / US,Hybrid,Upcoming,Public sector financial management conference,https://www.cgi.com
CGI Group,NCMA World Congress,Attending / Sponsoring,2026-08-09,"Chicago, US",In-person,Upcoming,Sponsoring government contracting and tech procurement sessions,https://www.cgi.com
DXC Technology,DXC AI Lab Day,Externally Hosted (Open),2026-06-23,"Rome, Italy",In-person,Completed,Developer and enterprise workshop on agentic software scaling,https://dxc.com
DXC Technology,DXC Connect Insurance Forum,Invite-Only,2026-06-15,Singapore,In-person,Completed,Executive forum for insurance leaders on cloud core systems,https://dxc.com
DXC Technology,Denver X-ray Conference (DXC 2026),Attending / Sponsoring,2026-08-03,"Illinois, US",In-person,Upcoming,Major technical symposium sponsored by DXC,https://www.dxcicdd.com
DXC Technology,Investor Day 2026,Internally Hosted,2026-06-11,"New York City, US",In-person,Completed,Leadership presentation on mid-term strategy at NASDAQ,https://dxc.com
Atos (Atos Group / Eviden),Salesforce Dreamforce 2026,Attending / Sponsoring,2026-09-15,"San Francisco, US",In-person,,Showcased cloud integration and digital sovereignty solutions,https://www.atosgroup.com
Atos (Atos Group / Eviden),Tech Foundations Partner Day,Internally Hosted,2026-10-20,"Paris, France",In-person,,Strategic partner briefing on infrastructure transformations,https://www.atosgroup.com
Atos (Atos Group / Eviden),Eviden GenAI Security Forum,Invite-Only,2026-11-18,"Munich, Germany",In-person,,Executive roundtable on sovereign cybersecurity for defense and public sector,https://www.atosgroup.com
EPAM Systems,Data Engineering Summit (DES),Startup-Friendly,2026-05-14,"Bangalore, India",In-person,Completed,"Showcased data platforms, data mesh, and AI startups",https://www.epam.in
EPAM Systems,ETGCCWorld Summit,Thought Leadership,2026-03-17,"Hyderabad, India",In-person,Completed,Keynote presentations on scaling GCC capabilities and digital teams,https://www.epam.in
EPAM Systems,DAM Europe 2026,Thought Leadership,2026-06-25,"London, UK",In-person,Completed,Speaker slots on digital asset management and content scaling,https://www.epam.com
EPAM Systems,Virtual Investor Day 2026,Internally Hosted,2026-03-12,Virtual / US,Virtual,Completed,Strategic update from CEO Arkadiy Dobkin,https://www.epam.com
EPAM Systems,ServiceNow Knowledge 2026,Attending / Sponsoring,2026-05-05,"Las Vegas, US",In-person,Completed,Major partner showcase for enterprise workflow automation,https://www.epam.com
HCLTech,Innovation eXchange AI Startup Showcase,Startup-Friendly,2026-08-20,"London, UK",In-person,,Invite-only event matching UK AI startups with enterprise buyers,https://www.hcl-software.com
HCLTech,From Idea to Silicon Incubator,Startup-Friendly,2026-06-25,"Bangalore, India",In-person,Completed,Semiconductor chip startup design and fab enablement showcase,https://www.hcltech.com
HCLTech,AI4 2026,Attending / Sponsoring,2026-08-04,"Las Vegas, US",In-person,Upcoming,Showcased data security and BigFix AI tools,https://www.hcl-software.com
HCLTech,Revenue Intelligence User Forum,Thought Leadership,2026-10-14,"Milan, Italy",In-person,,Telecom fraud prevention and revenue assurance forum,https://www.hcltech.com
UST,IESA Vision Summit Partner Meet,Startup-Friendly,2026-11-10,"Bangalore, India",In-person,,Sponsoring and mentoring semiconductor and IoT startups,https://www.ust.com
UST,UST Tech Talk Webinar,Externally Hosted (Open),2026-09-08,Virtual / Global,Virtual,,Public developer sessions on microservices and cloud cost control,https://www.ust.com
UST,Digital Healthcare CXO Dinner,Invite-Only,2026-10-24,"New York, US",In-person,,Closed-door discussion on healthcare technology modernization,https://www.ust.com
Tech Mahindra,TechM Convergence Europe,Internally Hosted,2026-01-15,"Madrid, Spain",In-person,Completed,Internal roadmaps and partner convergence planning,https://www.techmahindra.com
Tech Mahindra,World Economic Forum (WEF),Attending / Sponsoring,2026-01-19,"Davos, Europe",In-person,Completed,Strategic partner sessions on AI disruption and ESG,https://www.techmahindra.com
Tech Mahindra,Google Cloud Summit London,Attending / Sponsoring,2026-10-10,"London, UK",In-person,,Velocity Sponsor exhibiting agentic AI cloud architectures,https://www.techmahindra.com
Tech Mahindra,International Conference on Signal Processing (ACASP),Externally Hosted (Open),2027-03-05,"Hyderabad, India",In-person,,Academic conference hosted at Mahindra University,https://www.techmahindra.com
LTIMindtree,LTM Investor Day 2026,Externally Hosted (Open),2026-06-02,"Mumbai, India",In-person,Completed,Showcased five-year growth roadmap and AI integration,https://www.ltimindtree.com
LTIMindtree,Citi India Conference 2026,Attending / Sponsoring,2026-06-04,"Mumbai, India",In-person,Completed,Investor roadshow and presentation on tech services demand,https://www.ltimindtree.com
LTIMindtree,Board Q1 Review,Internally Hosted,2026-07-11,"Mumbai, India",In-person,Completed,Closed board review of performance and strategy,https://www.ltimindtree.com
Avanade,Avanade World Tour,Externally Hosted (Open),2026-11-10,Global Cities,Hybrid,,Interactive showcases on Microsoft Fabric and agentic AI,https://www.avanade.com
Avanade,NRF Retail Expo,Attending / Sponsoring,2027-01-14,"New York, US",In-person,,Showcasing next-generation AI solutions for retail customer journeys,https://www.avanade.com
Avanade,Microsoft 365 Conference,Attending / Sponsoring,2026-10-28,"Las Vegas, US",In-person,,Key sponsor showcasing modern workplace digital transformations,https://www.avanade.com
Capgemini,Exceller AgentifAI Buildathon,Startup-Friendly,2026-10-15,Virtual / India,Virtual,,National developer buildathon for AI startups and grads,https://www.capgemini.com
Capgemini,VivaTech 2026,Attending / Sponsoring,2026-05-24,"Paris, France",In-person,Completed,Showcase on sustainable technologies and green software,https://www.capgemini.com
Capgemini,2027 Shareholders' Meeting,Internally Hosted,2027-05-20,"Paris, France",In-person,,Annual general meeting of Capgemini shareholders,https://investors.capgemini.com
Impetus,Databricks Migration Webinar,Externally Hosted (Open),2026-09-17,Virtual / US,Virtual,,Public webinar on automating data modernization workloads,https://www.impetus.com
Impetus,AWS GenAI Pulse Dinners,Invite-Only,2026-11-14,Chicago / San Jose,In-person,,Executive roundtables on scaling LLM infrastructures safely,https://www.impetus.com
KPMG,KPMG CFO Forum,Invite-Only,2026-11-20,London / Mumbai,Hybrid,,Closed-room debates on corporate finance and tax rules,https://kpmg.com
KPMG,Geopolitical Outlook Webcast,Externally Hosted (Open),2026-10-15,Virtual / Global,Virtual,,Public webcasts on macroeconomics and regulatory updates,https://kpmg.com
KPMG,Fintech Pitch Day,Startup-Friendly,2026-11-05,"London, UK",In-person,,Pitch event for early-stage fintechs seeking advisory partnerships,https://kpmg.com
Deloitte,Dbriefs Webcast Series,Externally Hosted (Open),2026-09-01,Virtual / Global,Virtual,,"Continuing webcasts on tax, legal, and compliance updates",https://www2.deloitte.com
Deloitte,CFO Vantage Mumbai,Invite-Only,2026-11-18,"Mumbai, India",In-person,,Specialized leadership program for CFOs on treasury and AI,https://www2.deloitte.com
Deloitte,Deloitte Catalyst Demo Day,Startup-Friendly,2026-11-12,Tel Aviv / New York,Hybrid,,Pitch match matching scale-ups with enterprise clients,https://www2.deloitte.com
Deloitte,World Economic Forum (WEF),Attending / Sponsoring,2027-01-20,"Davos, Switzerland",In-person,,Headline strategic partner hosting executive panels,https://www2.deloitte.com
BCG,BCG Advance Conference,Externally Hosted (Open),2026-09-10,Virtual / US,Virtual,,Annual conference for students graduating 2026-2027,https://careers.bcg.com
BCG,ASPIRE Women's Workshop,Invite-Only,2026-10-15,Munich / Dubai,In-person,,Professional development program for top female candidates,https://careers.bcg.com
BCG,BCG Digital Ventures Pitch Night,Startup-Friendly,2026-09-24,London / NYC,In-person,,Pitch and networking nights for corporate-backed startups,https://careers.bcg.com
BCG,World Economic Forum (WEF),Attending / Sponsoring,2027-01-20,"Davos, Switzerland",In-person,,Strategic thought leadership on net-zero transitions and AI,https://www.bcg.com
Bain & Company,Bain Breaks it Down,Externally Hosted (Open),2026-09-08,Virtual / Global,Virtual,,Public webinar series introducing Bain's strategy consulting methodology,https://www.bain.com
Bain & Company,Bainworks Summit,Invite-Only,2026-10-22,"Amsterdam, Europe",In-person,,Leadership program for European and Middle Eastern MBA students,https://www.bain.com
Bain & Company,Bain Venture Day,Startup-Friendly,2026-11-12,"San Francisco, US",In-person,,Pitch event matching early-stage software companies with partners,https://www.bain.com
EXL Service,AI in Action Global Series,Externally Hosted (Open),2026-03-18,Virtual / Global,Virtual,Completed,Global virtual series on scaling enterprise AI workloads,https://www.exlservice.com
EXL Service,EXL Investor and Analyst Day,Invite-Only,2026-05-13,"New York City, US",In-person,Completed,Leadership presentation on operations and AI growth at NASDAQ,https://www.exlservice.com
EXL Service,SSON Shared Services Summit,Attending / Sponsoring,2026-09-13,"San Diego, US",In-person,,Sponsoring global business services and digital automation forums,https://www.exlservice.com
EY,EY GCC Conclave,Invite-Only,2026-11-10,Bangalore / Mumbai,In-person,,Flagship roundtable series on GCC innovation and tech scaling,https://www.ey.com
EY,EY Strategic Growth Forum,Invite-Only,2026-11-12,"Palm Springs, US",In-person,,Prominent networking event for high-growth CEOs and investors,https://www.ey.com
EY,Global Cyber Conference,Attending / Sponsoring,2026-11-18,"Zurich, Switzerland",In-person,,Headline partner showcasing AI risk mitigation and resilience,https://www.ey.com
EY,EY National AI Conference,Thought Leadership,2026-10-24,"Brussels, Europe",In-person,,Panels on European AI Act compliance and governance models,https://www.ey.com
McKinsey,Project Executive Summit,Invite-Only,2026-10-15,"Chicago, US",In-person,,Closed-door C-suite summit on operational transformations,https://www.mckinseytalksoperations.com
McKinsey,Green Business Building Summit,Invite-Only,2026-11-12,"London, UK",In-person,,Executive sessions on scaling climate tech startups,https://www.mckinsey.com
McKinsey,McKinsey Talks Operations,Externally Hosted (Open),2026-09-10,Virtual / Global,Virtual,,Public webinars on digital manufacturing and logistics scaling,https://www.mckinseytalksoperations.com
McKinsey,World Economic Forum (WEF),Attending / Sponsoring,2027-01-20,"Davos, Switzerland",In-person,,Strategic partner presenting global productivity and AI research,https://www.mckinsey.com
McKinsey,Next Gen Women Leaders (NGWL),Startup-Friendly,2026-10-18,Munich / Paris,In-person,,Professional development program supporting female tech talent,https://www.mckinsey.com
PwC,Corporate Directors Exchange,Invite-Only,2026-10-15,"Chicago, US",In-person,,Closed governance roundtables for public board members,https://www.pwc.com
PwC,PwC Analyst Day India,Invite-Only,2026-06-15,"Mumbai, India",In-person,Completed,Strategic briefing for tech and consulting sector analysts,https://www.pwc.com
PwC,PwC Scale Accelerator Showcase,Startup-Friendly,2026-09-10,"London, UK",Hybrid,,Cohort demo day matching enterprise-ready startups with clients,https://www.pwc.com
PwC,Quarterly Sustainability Webcast,Externally Hosted (Open),2026-10-12,Virtual / US,Virtual,,Public sessions on ESG reporting compliance and carbon accounting,https://www.pwc.com
